username,rating,comment,date;;;;
"Dicko Finus,1,""worst customer service just hope your shopping experience is free of the need to contact CS, It's really bad"",2025-12-30 16:38:10";;;;
σύγχυση,1,bad service!!,2025-12-30 15:38:22;;;;
"Tresna Widianti Lirayana,1,""kecewa banget pake shopee, akun tiba2 dibatasi gabisa di pulihkan, penghapusan akunpun gabisa. gajelas banget shopee"",2025-12-30 15:30:45";;;;
Yulianto Wahyu Saputra,1,Kenapa setiap kali saya buka shopee selalu diarahkan ke live atau video ? saya merasa terganggu dengan hal ini. Dimatikan saja fitur ini sangat menggangu !!!!!,2025-12-30 14:24:41;;;;
Abdullah Rifai,5,Good Aplication,2025-12-30 14:14:58;;;;
"Adea indah Purnama,2,""they block COD system,, unsatisfied"",2025-12-30 13:51:02";;;;
"Laras,1,""sering belanja disini tp pas iklan shopee knp maksa bgt woi lah,mana pake tombol x palsu lg,ak ga nyentuh aja kebuka shopee..menganggu bgt plis"",2025-12-30 13:48:07";;;;
"Fransisca Ardianto,5,""saran aja buat manajemen klik indomaret. mungkin bisa disediakan mobil operasional atau paling ga disediakan motor roda 3 yg ada bak nya. saya sering belanja via klik indomaret. kasian mas mas delivery nya. kiriman banyak, antar galon, beras, dan belanjaan yang lain hanya pakai motor biasa. saya yang liat kasian karena sangat kesusahan dalam menurunkan barang. semoga bisa dibaca dan menjadi masukan. terimakasih."",2025-12-30 12:42:25";;;;
"A B,1,""di bukti pengiriman. kok jdi displaynya kecil banget gambarnya, dan dishopeefood deal dah beli dan ga bisa dipake. dan kyknya 1 hari, bukan 7 days"",2025-12-30 12:41:59";;;;
Deny Alfaridzi,5,nice,2025-12-30 12:08:21;;;;
"Widiarto,1,""bisa gak customer service di tambahin fitur buat ubah rating pesanan jadi 2 kali, soalnya saya gak bisa mengubah rating pesanan saya lagi karena saya lupa buat mengubahnya, kalo cuma 1 kali buat nulis unek"""" ke penjual kan udah emosi jadi lupa buat ubah rating penilaian. (karena saya diblokir oleh penjual yang tidak bertanggung jawab, padahal tidak ngomong kasar). kalau sudah ada salah satu fitur diatas akan saya ubah ulasan ini menjadi bintang 5. Terimah kasih."",2025-12-30 12:07:15";;;;
Petrucci 1961,5,Edit : Masih makan memori besar tapi udah ga seberat kemarin². Top keren !!!,2025-12-30 12:00:18;;;;
Anjar Wulan,5,shopee ter the best,2025-12-30 11:03:21;;;;
TENENG HANYI,3,no theme for christmas??,2025-12-30 10:56:42;;;;
"Lyitzha nursyafa,1,""dulu langganan bgt di shope sampe mw naik ke member platinum tp sekarang belanja di shope pengirimanny lelet bgt iklan doang si cepat wkwk kenyataan tuh pengiriman lelet gajelas enakan dulu si menurut gua,makannya lebih sering belanja di sebelah skrng dripada di sini,kurang²in tuh iklan sicepat²kenyatanny lambat"",2025-12-30 10:27:08";;;;
INDRA SUTANTO,1,Biaya layanan'y terus naik g kira² mending uninstall pindah k OlShope sebelah By ...,2025-12-30 10:23:12;;;;
Hayashi2,1,cs nya gak kerja,2025-12-30 10:20:19;;;;
Dudi Syahman,5,Banyak barang tersedia di shopee (walau PO) yang tidak tersedia d Toko Online lain,2025-12-30 10:00:14;;;;
Titie Ibun,5,jaminan harga murah dan pengiriman yang sangat cepat,2025-12-30 09:21:48;;;;
Naya Nirmala,3,- Masa berlaku dari voucher Garansi Tepat Waktu nya terlalu singkat.. - Syarat Minimal Pembelian nya terlalu tinggi.. - Tidak bebas mencari barang/produk yang dibutuhkan..,2025-12-30 09:18:09;;;;
Naufal Al Farizi,1,iklan kok maksa,2025-12-30 09:10:17;;;;
Meidy S.S Kantohe,5,so far so good 👍,2025-12-30 08:11:44;;;;
Tysa Mawarr,3,bagus. hanya saja terlalu banyak iklan,2025-12-30 07:58:42;;;;
"JJ R,5,""Easy to use and variety of products with better pricing compare to the other similar apps. Now that I am using Huawei Mate XT Ultimate, my Shopee maps can't be used cause Shopee only works with Goodge Maps for the API. I sure hope Shopee will work with Petal Map soon, so Huawei Cellphone users like me can also enjoy Shopee Apps to the fullest."",2025-12-30 06:25:30";;;;
LINTANG SEWU,1,adminya majalah banget,2025-12-30 05:40:54;;;;
Narwan Kamil,2,price label are not stable oftenly,2025-12-30 03:50:50;;;;
"amaliya 0411_,1,""Nyampah banget, lagi enak² baca wattpad malah tiba² ke halaman shopee, padahal ga dipencet dan ga diapa²in😒 Aku download karena harga di shopee lebih terjangkau yaaaa, kalau ga ya ga bakal ku download. Tapi please, jangan tiba² ganggu orang yang lagi healing buat baca wattpad deh😒"",2025-12-30 03:04:52";;;;
Suryadi Antakusuma,1,seller nya uda banyak penipu. status mall atau star seller gak menjamin buat nipu. gak ngerti shoppe bisa kasih status mall ke seller seller niat nipu. dulu mana pernah kaya gini sekarang banyak banget starseller dan mall niat niou dan tidak ada tindakan apa apa dari shoppe. harus lebih hati hati sekarang kalo belanja di shoppe,2025-12-30 02:42:18;;;;
"dimas DDT bawono,4,""Cukup bagus. Easy to use. Banyak potongan. Pengirimannya cepat. Cara pembayarannya juga gampang. Tapi maaf, nih. Saya gak bisa kasih bintang 5, soalnya kalo ngiklan di aplikasi lain suka kebuka sendiri, dan itu ngganggu bgt."",2025-12-30 01:49:38";;;;
evi maharani,1,bagaimana bisa orang di luar sopi membaca pesanan sy dr sopi beserta nomer resinya sehingga menyebabkan penipuan dengan alasan paket gagal terkirim dan akan mengirim pengembalian dana.,2025-12-30 01:03:47;;;;
"Souw Steve,1,""shopee video isinya cewe joged2 dgn bagian tubuh yg sengaja ditonjolkan. pernah komplain cuma disuruh report, semakin di report semakin ngaco alogaritmanya malah makin banyak muncul."",2025-12-30 00:07:21";;;;
Yetty,5,Recommended. thx,2025-12-30 00:01:25;;;;
"Alfina Delta,1,""STOP IKLAN SOK ASIK BISA GAK??? lagi baca wattpad loh, gak mencet apapun tiba tiba iklan. aplikasi gajelas"",2025-12-29 23:57:21";;;;
SOL1,1,saya mencoba untuk Memasukan nomor saya saat ingin login kembali tapi setelah di coba 5 sampai 10 kali masih belum bisa juga saya kecewa karena pada dasarnya saya tidak bisa beli paket jika tidak memasukkan nomor kembali,2025-12-29 23:38:08;;;;
"Dessy Larasati,5,""saran aja nih, kan default pengiriman pake spx ya.... klo bisa ada opsi tombol kasih tips ke kurir, tipsnya langsung masuk ke rekening kurir tanpa dipungut fee lagi ya. awas aja klo tips kurir masih dipotong fee"",2025-12-29 23:26:02";;;;
"ilham setyawan,1,""fitur sort di hp android saya kenapa aneh banget, produk yang muncul sama semua"",2025-12-29 21:42:16";;;;
Rizal Syaf,1,kecewa dengan kebijakannya,2025-12-29 21:34:13;;;;
"Raha,1,""APLIKASI SANGAT MENGGANGGU, matiin tuh fitur video life nya. MENDING PINDAH KE TIKTOK APLIKASI NYA GK GANGGU"",2025-12-29 21:18:11";;;;
"judieth lengkang,1,""why do you have to use AI or computer for you costumer service?? there's no solution at all. Not to mention the shopeefood 🤦‍♂️ I can't cancel my order even if i waited for AN HOUR just to find the driver, and the order DID NOT CANCELED by the program, so ridiculous. We keep paying for maintenance fee, but the service and performance is really bad."",2025-12-29 21:11:03";;;;
Caroline Petrica,1,LEMOT!!,2025-12-29 21:02:14;;;;
Jafar rm Rumah,5,gassssd pol. gratis ongkirnya manteb. filter barang lengkap,2025-12-29 20:31:41;;;;
Haryono Hartawijaya,5,Nice App,2025-12-29 19:59:32;;;;
MizzASRI Ciblo,5,everything i want is here... incomparable 👍🏼,2025-12-29 19:56:33;;;;
Ron krm,5,sangat membantu dlm berbelanja online tanpa ribet,2025-12-29 19:45:38;;;;
